stdDay,Susceptible,Alpha_Infected,Alpha_Recovered,Alpha_Dead,Alpha_alpha,Alpha_beta,Alpha_gamma,Delta_Infected,Delta_Recovered,Delta_Dead,Delta_alpha,Delta_beta,Delta_gamma
2021-07-19,1437753,11.339999999999975,311.21000000000004,1.8399999999999999,0.06628269817426802,0.021164021164022013,0.0,118.16,54.04,0.19,0.16327219135580912,0.019972918077183474,0.0
2021-07-20,1437728,11.849999999999966,311.45000000000005,1.8399999999999999,0.058356637800682024,0.05569620253164304,0.0,135.04999999999998,56.4,0.19,0.13142666706462341,0.048056275453535746,0.0
2021-07-21,1437705,11.879999999999995,312.11,1.8399999999999999,0.027839662672260464,0.010101010101010487,0.0,146.26999999999998,62.89,0.19,0.058035618664289745,0.0080672728515759,0.0
2021-07-22,1437694,12.090000000000032,312.23,1.8399999999999999,0.022382431065744973,0.019851116625310875,0.0,153.56,64.07000000000001,0.19,0.04522982667368677,0.01536858556915863,0.0
2021-07-23,1437685,12.120000000000005,312.47,1.8399999999999999,0.022327168777280384,0.10396039603960316,0.0,158.13,66.43,0.19,0.043922947342290415,0.07835325365205835,0.0
2021-07-24,1437676,11.129999999999995,313.73,1.8399999999999999,0.035119204699702214,0.1239892183288406,0.0,152.67000000000002,78.82,0.19,0.06571365170998839,0.08888452217200501,0.0
2021-07-25,1437663,10.139999999999986,315.11,1.8399999999999999,0.0533746403448724,0.08284023668639379,0.0,149.11,92.39,0.19,0.09316131645199162,0.05539534571792639,0.0
2021-07-26,1437645,9.839999999999975,315.95000000000005,1.8399999999999999,0.07028110589735653,0.054878048780484245,0.0,154.70999999999998,100.65,0.19,0.11473205420099751,0.034322280395578754,0.0
2021-07-27,1437622,9.990000000000009,316.49,1.8399999999999999,0.08126640965314824,0.09009009009009342,0.0,167.11,105.96,0.19,0.12469343605507603,0.0529591287176112,0.0
2021-07-28,1437595,9.899999999999977,317.39000000000004,1.8399999999999999,0.1184541733052269,0.12727272727272665,0.0,179.05,114.81,0.19,0.16810502896876897,0.06919854789165038,0.0
2021-07-29,1437556,9.810000000000002,318.65000000000003,1.8399999999999999,0.07663086660937778,0.14067278287461724,0.0,196.69,127.2,0.19,0.09809795060031133,0.06899181453047933,0.0
2021-07-30,1437531,9.180000000000007,320.03000000000003,1.8399999999999999,0.07206431917673944,0.07843137254901633,0.0,202.37,140.76999999999998,0.19,0.08390470368346772,0.034985422740524845,0.0
