incDec,stdDay,delta_variants,omicron_variants
877.0,2022-07-15,0.0,877.0
967.0,2022-07-16,0.0,967.0
1033.0,2022-07-17,0.0,1033.0
832.0,2022-07-18,0.0,832.0
1220.0,2022-07-19,0.0,1220.0
1940.0,2022-07-20,0.0,1940.0
1601.0,2022-07-21,0.0,1601.0
1470.0,2022-07-22,0.0,1470.0
1587.0,2022-07-23,0.0,1587.0
1678.0,2022-07-24,0.0,1678.0
1207.0,2022-07-25,0.0,1207.0
1622.0,2022-07-26,0.0,1622.0
2054.0,2022-07-27,0.0,2054.0
1838.0,2022-07-28,0.0,1838.0
1622.0,2022-07-29,0.0,1622.0
1837.0,2022-07-30,0.0,1837.0
1583.0,2022-07-31,0.0,1583.0
1013.0,2022-08-01,0.0,1013.0
1503.0,2022-08-02,0.0,1503.0
1968.0,2022-08-03,0.0,1968.0
1895.0,2022-08-04,0.0,1895.0
1702.0,2022-08-05,0.0,1702.0
1642.0,2022-08-06,0.0,1642.0
1828.0,2022-08-07,0.0,1828.0
1243.0,2022-08-08,0.0,1243.0
1656.0,2022-08-09,0.0,1656.0
1993.0,2022-08-10,0.0,1993.0
2024.0,2022-08-11,0.0,2024.0
1983.0,2022-08-12,0.0,1983.0
1873.0,2022-08-13,0.0,1873.0
1913.0,2022-08-14,0.0,1913.0
1473.0,2022-08-15,0.0,1473.0
1391.0,2022-08-16,0.0,1391.0
1772.0,2022-08-17,0.0,1772.0
2357.0,2022-08-18,0.0,2357.0
2106.0,2022-08-19,0.0,2106.0
1897.0,2022-08-20,0.0,1897.0
1934.0,2022-08-21,0.0,1934.0
1354.0,2022-08-22,0.0,1354.0
1531.0,2022-08-23,0.0,1531.0
2094.0,2022-08-24,0.0,2094.0
1634.0,2022-08-25,0.0,1634.0
1392.0,2022-08-26,0.0,1392.0
1415.0,2022-08-27,0.0,1415.0
1227.0,2022-08-28,0.0,1227.0
839.0,2022-08-29,0.0,839.0
1035.0,2022-08-30,0.0,1035.0
1431.0,2022-08-31,0.0,1431.0
1047.0,2022-09-01,0.0,1047.0
904.0,2022-09-02,0.0,904.0
793.0,2022-09-03,0.0,793.0
756.0,2022-09-04,0.0,756.0
496.0,2022-09-05,0.0,496.0
567.0,2022-09-06,0.0,567.0
687.0,2022-09-07,0.0,687.0
723.0,2022-09-08,0.0,723.0
672.0,2022-09-09,0.0,672.0
375.0,2022-09-10,0.0,375.0
323.0,2022-09-11,0.0,323.0
287.0,2022-09-12,0.0,287.0
307.0,2022-09-13,0.0,307.0
470.0,2022-09-14,0.0,470.0
540.0,2022-09-15,0.0,540.0
350.0,2022-09-16,0.0,350.0
352.0,2022-09-17,0.0,352.0
270.0,2022-09-18,0.0,270.0
223.0,2022-09-19,0.0,223.0
268.0,2022-09-20,0.0,268.0
354.0,2022-09-21,0.0,354.0
264.0,2022-09-22,0.0,264.0
206.0,2022-09-23,0.0,206.0
267.0,2022-09-24,0.0,267.0
194.0,2022-09-25,0.0,194.0
153.0,2022-09-26,0.0,153.0
189.0,2022-09-27,0.0,189.0
235.0,2022-09-28,0.0,235.0
251.0,2022-09-29,0.0,251.0
218.0,2022-09-30,0.0,218.0
207.0,2022-10-01,0.0,207.0
171.0,2022-10-02,0.0,171.0
142.0,2022-10-03,0.0,142.0
144.0,2022-10-04,0.0,144.0
190.0,2022-10-05,0.0,190.0
257.0,2022-10-06,0.0,257.0
179.0,2022-10-07,0.0,179.0
156.0,2022-10-08,0.0,156.0
150.0,2022-10-09,0.0,150.0
79.0,2022-10-10,0.0,79.0
123.0,2022-10-11,0.0,123.0
179.0,2022-10-12,0.0,179.0
271.0,2022-10-13,0.0,271.0
149.0,2022-10-14,0.0,149.0
190.0,2022-10-15,0.0,190.0
160.0,2022-10-16,0.0,160.0
128.0,2022-10-17,0.0,128.0
178.0,2022-10-18,0.0,178.0
175.0,2022-10-19,0.0,175.0
142.0,2022-10-20,0.0,142.0
162.0,2022-10-21,0.0,162.0
167.0,2022-10-22,0.0,167.0
166.0,2022-10-23,0.0,166.0
147.0,2022-10-24,0.0,147.0
141.0,2022-10-25,0.0,141.0
280.0,2022-10-26,0.0,280.0
178.0,2022-10-27,0.0,178.0
217.0,2022-10-28,0.0,217.0
209.0,2022-10-29,0.0,209.0
228.0,2022-10-30,0.0,228.0
161.0,2022-10-31,0.0,161.0
225.0,2022-11-01,0.0,225.0
359.0,2022-11-02,0.0,359.0
281.0,2022-11-03,0.0,281.0
264.0,2022-11-04,0.0,264.0
242.0,2022-11-05,0.0,242.0
237.0,2022-11-06,0.0,237.0
154.0,2022-11-07,0.0,154.0
266.0,2022-11-08,0.0,266.0
349.0,2022-11-09,0.0,349.0
364.0,2022-11-10,0.0,364.0
347.0,2022-11-11,0.0,347.0
386.0,2022-11-12,0.0,386.0
327.0,2022-11-13,0.0,327.0
235.0,2022-11-14,0.0,235.0
309.0,2022-11-15,0.0,309.0
455.0,2022-11-16,0.0,455.0
370.0,2022-11-17,0.0,370.0
356.0,2022-11-18,0.0,356.0
339.0,2022-11-19,0.0,339.0
354.0,2022-11-20,0.0,354.0
245.0,2022-11-21,0.0,245.0
329.0,2022-11-22,0.0,329.0
444.0,2022-11-23,0.0,444.0
363.0,2022-11-24,0.0,363.0
351.0,2022-11-25,0.0,351.0
314.0,2022-11-26,0.0,314.0
301.0,2022-11-27,0.0,301.0
219.0,2022-11-28,0.0,219.0
336.0,2022-11-29,0.0,336.0
491.0,2022-11-30,0.0,491.0
377.0,2022-12-01,0.0,377.0
355.0,2022-12-02,0.0,355.0
347.0,2022-12-03,0.0,347.0
359.0,2022-12-04,0.0,359.0
233.0,2022-12-05,0.0,233.0
363.0,2022-12-06,0.0,363.0
672.0,2022-12-07,0.0,672.0
579.0,2022-12-08,0.0,579.0
574.0,2022-12-09,0.0,574.0
477.0,2022-12-10,0.0,477.0
515.0,2022-12-11,0.0,515.0
396.0,2022-12-12,0.0,396.0
385.0,2022-12-13,0.0,385.0
774.0,2022-12-14,0.0,774.0
637.0,2022-12-15,0.0,637.0
590.0,2022-12-16,0.0,590.0
600.0,2022-12-17,0.0,600.0
605.0,2022-12-18,0.0,605.0
403.0,2022-12-19,0.0,398.96999999999997
402.0,2022-12-20,0.0,397.98
945.0,2022-12-21,0.0,935.55
714.0,2022-12-22,0.0,706.86
760.0,2022-12-23,0.0,752.4
590.0,2022-12-24,0.0,584.1
560.0,2022-12-25,0.0,554.4
